code,biz,cluster
000001,经有关监管机构批准的各项商业银行业务商业银行业务,金融
000002,房地产开发和物业服务商品住宅,房地产/建筑
000062,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交,半导体/电子
000568,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售。中高档酒类、其他酒类,白酒/食品饮料
000596,白酒的生产和销售。年份原浆、古井贡酒、黄鹤楼及其他,白酒/食品饮料
000661,"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。注射用人生长激素、重组人生长激素注射液、注射用重组人促卵泡激素、重组人促",医药生物
000733,一是以移动通信终端、电子电话机、通信天线等为主的专用整机板块；二是以片式电阻、电容、电感、半导体二三极管、集成电路等为主的高新电子板块；三是以高压真空灭弧室、手,半导体/电子
000799,从事生产、销售曲酒系列产品。内参系列、酒鬼系列、湘泉系列、其他系列,白酒/食品饮料
000858,“五粮液”及其系列白酒的生产和销售五粮液酒,白酒/食品饮料
002048,从事汽车零部件的开发、生产和销售汽车内外饰系统、车身金属件、电子电器附件,汽车/零部件
002129,单晶硅材料和半导体器件的研发、生产和销售光伏硅片、光伏组件、半导体材料、光伏电站,半导体/电子
002252,生产和销售血液制品人血白蛋白、静注人免疫球蛋白、特异性免疫球蛋白、凝血因子类产品,其他
002271,从事新型建筑防水材料的研发、生产、销售及防水工程施工业务。建筑防水材料、砂浆粉料、建筑装饰涂料、建筑节能材料、胶粘剂、管业、非织造布、特种薄膜、乳液,化工/新材料
002292,动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售、媒体广告的经营。IP内容业务、潮玩业务、玩具业务、婴童业务,互联网/软件
002371,半导体基础产品的研发、生产、销售和技术服务。半导体装备、真空新能源装备、电阻、电容、晶体器件、模块电源、微波组件,半导体/电子
002460,各种深加工锂产品的研究、开发、生产与销售锂系列产品、锂电池系列产品,新能源/电池
002466,锂精矿及锂化工产品的生产、加工和销售。化学级锂精矿、技术级锂精矿、碳酸锂、氢氧化锂、金属锂、氯化锂,化工/新材料
002475,连接器产品研发、生产和销售消费电子、汽车电子、通讯及数据中心,汽车/零部件
002709,精细化工新材料的研发、生产和销售。锂离子电池材料、日化材料及特种化学品,化工/新材料
002714,生猪的养殖与销售商品猪、仔猪、种猪、白条、分割品、副产品,农业
002812,提供多种包装印刷产品、包装制品及服务；锂电池隔离膜、铝塑膜、水处理膜等领域锂电池隔离膜、BOPP薄膜、无菌包装,新能源/电池
300014,锂原电池、锂离子电池、电子产品和电子烟锂原电池、小型锂离子电池、圆柱电池、软包三元电池、方形三元电池、大圆柱电池、大方形电池、方形磷酸铁锂电池、圆柱铁锂电池,新能源/电池
300015,眼科医疗服务与视光医疗服务屈光项目、白内障项目、眼前段项目、眼后段项目、视光服务项目,医药生物
300024,零部件、机器人、特种机器人及工业4.0工业机器人、物流与仓储自动化成套装备、自动化装配与检测生产线及系统集成、交通自动化系统、半导体装备,机械/装备制造
300059,金融数据服务、广告业务服务、金融电子商务服务、证券经纪、证券自营等证券公司业务证券业务、金融电子商务服务业务、金融数据服务业务,互联网/软件
300122,疫苗、生物制品的研发、生产和销售盟威克、盟纳康、喜菲贝、盟纳克、智克威得、宜卡、微卡、优威克、四价流感病毒裂解疫苗、佳达修、佳达修9、乐儿德、纽莫法、维康特、欣,医药生物
300142,人用疫苗产品研发、生产、销售13价肺炎结合疫苗、双价HPV疫苗、23价肺炎多糖疫苗、b型流感嗜血杆菌结合疫苗、A群C群脑膜炎球菌多糖结合疫苗、ACYW135群脑,医药生物
300168,提供智慧城市中的软件开发、服务和整体解决方案。智慧卫健、智慧医保、医药、智慧医疗、康养管理、智慧政务、市民云、网信集成业务、信息安全业务、数智治理业务,互联网/软件
300274,太阳能、风能、储能、电动汽车等新能源电源设备的研发、生产、销售和服务微型逆变器、户用逆变器、组串逆变器、集中逆变器、模块化逆变器、PowerTitan 3.0交,新能源/电池
300308,高端光通信收发模块以及光器件的研发、生产及销售。光通信收发模块、光组件、汽车光电子,汽车/零部件
300347,为医药产品研发提供I至IV期临床试验技术服务、数据管理、统计分析、注册申报、中心检测、医学影像、健康咨询等临床研究服务临床运营、临床药理、注册与法规事务、科学事,医药生物
300394,光通信领域从事光器件的研发、生产和销售。精密微光学组件解决方案、波分复用系统级无源解决方案、高精度封装解决方案、数据中心AOC配套无源解决方案、数据中心PSM/,半导体/电子
300476,高密度印制线路板的研发、生产和销售刚性电路板（多层板和HDI为核心）、柔性电路板（单双面板、多层板、刚挠结合板）,半导体/电子
300502,光模块的研发及制造光互联产品,通信
300750,"专注于新能源汽车动力电池系统、储能系统的研发、生产和销售,致力于为全球新能源应用提供一流解决方案动力电池系统、储能电池系统、电池材料、回收及矿产资源",新能源/电池
600000,提供银行及相关金融服务相关金融服务,金融
600028,(1)勘探、开发及生产原油及天然气;(2)炼油、运输、储存及营销原油及石油产品;及(3)生产及销售化工产品。原油、天然气、汽油、柴油、煤油、基础化工原料、合纤单,化工/新材料
600030,提供证券经纪、投资银行、资产管理及相关金融服务。经纪业务、资产管理、证券投资、证券承销,金融
600031,工程机械装备的研发、制造、销售和服务混凝土机械、挖掘机械、起重机械、桩工机械、路面机械,机械/装备制造
600036,从事银行业及相关金融服务。零售金融业务、批发金融业务、其他业务,金融
600053,私募股权投资管理业务；房地产开发及经营私募股权投资、房地产、建筑施工业务,房地产/建筑
600058,主要从事资源贸易、金属贸易、供应链服务。资源贸易、金属贸易、供应链服务,其他
600062,主要从事药品开发、制造和销售缬沙坦、氨氯地平、普瑞巴林、氨苯蝶啶、喷他佐辛、匹伐他汀、素钠、依诺肝素原料、辅酶Q10、S-Na盐,医药生物
600075,氯碱化工业务。聚氯乙烯、烧碱,化工/新材料
600079,医药产业产品的生产、研发和销售等。枸橼酸舒芬太尼注射液、注射用盐酸瑞芬太尼、盐酸氢吗啡酮注射液、盐酸纳布啡注射液、盐酸阿芬太尼注射液、注射用苯磺酸瑞马唑仑、米非,医药生物
600089,输变电业务、新能源业务、能源业务及新材料业务。变压器、电抗器、电线电缆、多晶硅相关产品、煤炭产品、黄金产品、铝电子新材料、铝及合金制品、电力产品、输变电成套工程,有色金属/采矿
600104,汽车，摩托车，拖拉机等各种机动车整车，机械设备，总成及零部件的生产、销售，期刊出版，利用自有媒体发布广告，实业投资，货物及技术进出口业务，汽车租赁及机械设备租赁,汽车/零部件
600108,农产品开发、种植、收购与销售牧草、辣椒产品、商品玉米、马铃薯、食葵、制种玉米、果品、啤酒花,白酒/食品饮料
600117,黑色金属的冶炼和压延加工业务。销售房屋、合结钢、碳结钢、滚珠钢、合工钢、碳工钢,其他
600118,卫星研制和卫星应用宇航制造业务、卫星应用技术设备、卫星应用服务,其他
600127,优质粮油、新型健康食品和药品开发、生产、销售大米、面粉、面条、植物油、牛奶、休闲食品,白酒/食品饮料
600132,啤酒产品的制造与销售业务啤酒,白酒/食品饮料
600143,化工新材料的研发、生产和销售改性塑料、环保高性能再生塑料、生物降解塑料、特种工程塑料、高性能纤维增强复合材料、轻烃及氢能源、聚丙烯树脂、苯乙烯类树脂、医疗健康高,化工/新材料
600150,大型造船、修船、海洋工程、动力及机电设备等业务船舶造修及海洋工程、机电设备,机械/装备制造
600151,从事汽车热系统业务，致力于开发和生产热交换器、发动机冷却模块、空调箱及其控制器、压缩机等，新能源光伏产业主要从事多晶方锭、单晶提纯锭、组件环节的技术研发、制造以,新能源/电池
600161,疫苗、血液制剂等生物制品的研究、生产和经营人血白蛋白、静注人免疫球蛋白（pH4）、破伤风人免疫球蛋白、狂犬病人免疫球蛋白、乙型肝炎人免疫球蛋白、冻干静注乙型肝炎,医药生物
600162,以商贸流通运营为主，其他类项目开发业务为辅商贸物业经营、综合家居运营管理、精品住宅开发,消费/家电零售
600166,制造、销售汽车、模具、冲压件等整车,汽车/零部件
600169,主营轨道交通设备、起重设备、风力发电设备、挖掘设备、海洋工程装备、焦炉设备、齿轮传动、轧钢设备、锻压设备、煤化工设备、工程机械、港口机械、油膜轴承、铸锻件等产品,机械/装备制造
600177,品牌服装、地产开发和投资业务品牌衬衫、品牌西服、品牌裤子、品牌上衣,房地产/建筑
600195,动物保健品和动物营养品研发、生产、销售及技术服务。禽用疫苗、畜用疫苗、宠物用疫苗、致病性禽流感疫苗、鸡马立克系列产品、口蹄疫类疫苗、ST猪瘟疫苗、猪圆环病毒灭活,医药生物
600216,生命营养品、医药制造类产品的销售及医药商业维生素、类维生素产品、抗耐药抗生素、抗疟疾类、喹诺酮、降糖类、激素类、叶黄素、天然维生素E、辅酶Q10、医药商业,医药生物
600219,铝及铝合金制品开发、生产、加工、销售电力、氧化铝、铝合金锭、汽车板、航空板、罐料、工业型材、建筑型材、铝箔,汽车/零部件
600249,生产和销售牙膏、香皂、牙具、日用洗涤用品、化妆品、卫生巾、尿巾、及其他家庭卫生用品；生产和销售药品、原料药、卫生消毒用品；生产和销售三氯蔗糖；房地产开发经营、物,房地产/建筑
600251,主要从事番茄、棉花、甜菜制糖、新疆特色干鲜果品的收购、加工和销售。大包装番茄酱、小包装番茄酱、番茄丁、番茄碎、无菌灌装番茄汁、番茄沙司、各类有机番茄制品、皮棉、,金融
600258,从事酒店投资与运营管理及景区经营业务。酒店运营、酒店管理、景区业务,白酒/食品饮料
600272,衬衫和羊毛衫的生产、批发和零售，以及中、西成药的批发和零售衬衫、羊毛（绒）衫、系列服装、中西成药、中药饮片、医用耗材试剂,医药生物
600276,药品研发、生产和销售马来酸吡咯替尼片、注射用卡瑞利珠单抗、瑞维鲁胺片、海曲泊帕乙醇酰胺片、羟乙磺酸达尔西利片、碘佛醇注射液,医药生物
600299,研发、生产和销售动物营养添加剂蛋氨酸、蛋氨酸羟基类似物、维生素、硫酸铵、硫酸钠、酶制剂、反刍动物蛋氨酸、有机硒添加剂、益生菌产品、适口性产品、霉菌毒素、管理产品,农业
600309,聚氨酯及助剂，异氰酸酯(MDI)及衍生产品的开发、生产、销售聚氨酯系列、石化系列、精细化学品及新材料系列,化工/新材料
600312,研发、制造、销售高压、超高压、特高压等高端开关设备、控制设备及其配件;技术服务;技术咨询以及公司自产产品及相关技术的进出口业务。40.5千伏～1100千伏SF6,机械/装备制造
600320,设计、建造、安装和承包大型港口装卸系统和设备、海上重型装备、工程机械、工程船舶和大型金属结构件及部件、配件;船舶修理;自产起重机租赁业务，销售公司自产产品;可用,机械/装备制造
600322,房地产开发及销售房地产开发经营、物业、出租,房地产/建筑
600325,房地产开发与经营房地产开发、物业服务,房地产/建筑
600326,公路工程基础设施建设、建材生产销售以及矿业开发等实体市政道路、公路工程、房建工程、其他工程、水泥销售、商混销售、骨料销售、沥青砼销售、监理检测、技术服务、物流及,房地产/建筑
600331,从事冶金、化工、矿山开采及酒店磷酸盐系列产品、磷肥、复合肥、液氨、锌锭、锌合金,有色金属/采矿
600348,煤炭生产、洗选加工以及供电、供热。洗块煤、洗末煤、末煤、煤泥,有色金属/采矿
600362,铜和黄金的采选、冶炼与加工；稀散金属的提取与加工；硫化工以及金融、贸易等领域，并且在铜以及相关有色金属领域建立了集勘探、采矿、选矿、冶炼、加工业务。阴极铜、黄金,有色金属/采矿
600383,房地产开发与销售房地产开发、物业管理,房地产/建筑
600409,粘胶短纤产品的生产与销售纯碱、粘胶短纤维、聚氯乙烯树脂、电、蒸汽、烧碱、二甲基硅氧烷混合环体、室温胶、高温胶、矿石,化工/新材料
600425,水泥、建材、化工产品的生产与销售水泥、加气砼、商品混凝土、尿素、PVC、烧碱、纸面石膏板,房地产/建筑
600436,中成药制造、医药流通肝病用药、心脑血管用药,医药生物
600438,水产饲料、畜禽饲料等的研究、生产和销售及多晶硅、太阳能电池的研发、生产、销售。饲料、食品及相关业务、太阳能电池、组件及相关业务、高纯晶硅、化工及相关业务、光伏电,新能源/电池
600439,发制品系列产品的研制、生产和销售工艺（真人发）发条、化纤发条、人发假发、化纤假发、复合纤维材料（包括纤维发丝、阻燃纤维）,化工/新材料
600446,金融证券软件、系统集成及服务。软件业务、硬件业务、定制及系统集成服务业务、科技园租赁业务,金融
600456,钛及钛合金的生产、加工和销售海绵钛、钛锭、板材、管材、棒材、带、箔材、线、丝材、环材、饼材、精密铸件,化工/新材料
600458,高分子复合材料研究及工程化应用减振降噪制品、风电叶片、高分子新材料,新能源/电池
600460,电子元器件的研发、生产和销售。硅基集成电路、分立器件、化合物半导体器件（LED芯片和成品，SiC、GaN功率器件）,半导体/电子
600468,输配电及控制设备、泵电磁线、线圈、定子嵌线、铜排、线棒、大功率电力电子产品SVG、SVC、输电系统二次控制电连接产品、单螺杆泵、双螺杆泵、三螺杆泵、离心泵,半导体/电子
600481,节能节水系统业务及新能源系统业务。溴化锂制冷机及热泵、电热泵、电制冷系统、换热器、空冷器、多晶硅还原炉及其模块、绿电智能制氢装备、大尺寸单晶硅棒、硅片、高效光伏,新能源/电池
600482,多维度的高端动力装备研发、制造、系统集成、销售及服务柴油机、燃气轮机、汽轮机、电机及电控设备、蓄电池、电池储能系统、热气机、核电特种设备、船用机械、港口机械、齿,新能源/电池
600497,铅、锌、锗系列产品的生产与销售锌产品、铅产品、硫酸、银产品、硫精矿、锌精矿,有色金属/采矿
600499,建筑陶瓷机械及海外建材产品的生产和销售，并战略投资以蓝科锂业为主体的锂盐业务，另有锂电材料及装备、液压泵、智慧能源等培育业务。陶瓷压机、窑炉、抛磨设备、窑后智能,机械/装备制造
600509,电、热的生产和供应供电、供热、供水、天然气,其他
600511,医药流通。药品及器械配送、普药分销与综合服务、麻精业务、工业板块、口腔业务、营销业务、物流服务、进口保税业务,医药生物
600515,各类地产项目的投资与开发、机场的投资运营管理机场管理业务、免税与商业业务、房地产业务、物业管理业务,房地产/建筑
600516,石墨及炭素制品、锂离子电池负极材料、石墨烯及下游产品等新材料的生产与销售。石墨电极、高炉用炭砖、电解铝用石墨质阴极炭块、特种石墨制品、核电用炭/石墨材料、石墨烯,新能源/电池
600517,从事电气及新材料设备、电力运维业务、低碳节能与工程服务相关的研发、生产、销售和技术服务证券、信托、期货等金融业务信托业务、证券期货业务、碳资产业务、电气及新材料,金融
600519,贵州茅台酒系列产品的产品研制、酿造生产、包装和销售。茅台酒、其他系列酒,白酒/食品饮料
600523,汽车零部件和航空产品的制造、销售。电动刮水器和玻璃升降器、热交换器、电子电器开关、车锁总成及门把手,汽车/零部件
600531,电解铅、白银、黄金、冰铜、硫酸、次氧化锌的生产和销售。铅产品、铜产品、黄金产品、白银产品、锌系列产品、硫酸产品,有色金属/采矿
600533,房地产开发经营、租赁及物业管理业务南京云汇府、南京翰锦院、南京栖悦湾,房地产/建筑
600547,黄金开采、选冶；黄金矿山专用设备、建筑装饰材料（不含国家法律法规限制产品）的生产、销售。标准金锭、投资金条、合质金、银锭,有色金属/采矿
600549,钨钼、稀土和能源新材料三大核心业务。钨丝、硬质合金棒材、切削工具、凿岩工程工具、钼酸铵、钼粉、钴酸锂,有色金属/采矿
600550,变压器、互感器的生产与销售以及相关的加工业务变压器、互感器,其他
600551,图书、期刊、全媒体出版策划经营及印刷复制、传媒科技研发、股权投资。教材教辅、一般图书、期刊杂志、数字产品、印装及制造业务、印刷物资销售、文化商品销售、电子商务、,半导体/电子
600552,ITO导电膜玻璃、电熔氧化锆、硅酸锆柔性可折叠玻璃（UTG）、超薄电子玻璃、ITO导电膜玻璃、柔性触控、面板减薄、显示触控一体化模组，拥有较为完整的显示产业链,半导体/电子
600557,药品的研发、生产与销售。注射类产品、口服类产品、外用类产品,医药生物
600570,为金融机构提供IT软件产品与服务。财富科技服务、资管科技服务、运营与机构科技服务、风险与平台科技服务、数据服务业务、创新业务、企金保险核心、金融基础设施科技服务,互联网/软件
600582,涵盖智能装备、矿山安全、清洁低碳、设计建设、绿色开发、新兴多元等六大高新技术板块。矿山自动化、机械化装备、安全技术与装备、节能环保与装备、煤炭洗选装备、矿井生产,机械/装备制造
600586,浮法玻璃、超白玻璃及纯碱等产品的生产销售玻璃原片、Low—E节能玻璃、光伏玻璃、纯碱,新能源/电池
600588,软件及服务业务、企业互联网服务、互联网金融服务用友BIP产品,互联网/软件
600595,铝加工产品的生产和销售、火力发电及煤炭的生产和销售。易拉罐罐体料、罐盖料、拉环料、新能源电池铝塑膜用铝箔、新能源电池集流体用铝箔、新能源电池极耳铝箔、高档双零铝,新能源/电池
600596,农药化工、硅基新材料硅基基础产品、硅基终端产品、农化自产品、农化贸易产品,化工/新材料
600609,汽车及零部件制造汽车饰件、整椅、照明系统组件、电池组件、三电冷却系统组件,汽车/零部件
600612,生产经营金银制品、珠宝、钻石与相关产品及设备，工艺美术品、旅游工艺品与相关产品及原料，文教用品黄金、铂金、钻石、白银、白玉、翡翠、珍珠、有色宝石、珐琅、K金珠宝,有色金属/采矿
600630,品牌销售与国际贸易针织内衣、家居系列、休闲系列、内裤、文胸、袜品、床单、被套、枕套、靠套、被芯、毛毯、毛巾、衬衣、休闲裤、T恤、毛衫、夹克、羽绒棉褛、大衣,消费/家电零售
600655,黄金珠宝、进出口、百货的零售与批发。珠宝时尚、餐饮管理与服务、食品、百货及工艺品、医药健康及其他、化妆品、时尚表业、其他经营管理服务、酒业、商业综合及物业综合服,白酒/食品饮料
600657,以房地产开发业务为核心，以房地产金融业务、持有型物业经营和物业服务为支持住宅、商业、车位及其他房地产产品、租赁及其他,房地产/建筑
600674,以清洁能源为主业，并投资经营信息化等高新技术产业。电力、软件产品、硬件产品,互联网/软件
600702,白酒产品的生产和销售超高端产品天子呼、舍不得、吞之乎等、舍得10年、智慧舍得、品味舍得、舍得自在、舍之道、沱牌曲酒、沱牌特曲、陶醉、大众光瓶酒沱牌特级T68,白酒/食品饮料
600728,智能安防、智能化轨道交通、通信增值、服务与集成(含网络及云计算产品和服务、IT综合服务)企业数智化升级解决方案、智慧城市群立体交通解决方案、智慧城市轨道交通解决,互联网/软件
600737,白砂糖及相关产品的制造销售、番茄加工及番茄制品的销售，还有一家水泥参股公司。贸易糖、自产糖（含Tully）、加工糖、番茄制品（含小包装、林果）、农资、农作物种植,房地产/建筑
600739,商贸流通、生物制药、能源开发、金融服务进出口贸易、商品流通、生物制药、能源开发,医药生物
600744,电力生产电力,电力/公用
600745,移动通信、半导体、电子元器件和材料等产品相关的技术研发。二极管、双极性晶体管、ESD保护器件、MOSFET器件、氮化镓场效应晶体管（GaN FET）、碳化硅（S,半导体/电子
600757,出版传媒业教材教辅、一般图书、期刊杂志、音像制品、印装业务、传统及其他物资贸易,其他
600761,工业车辆、装载机等产品的研发、生产和销售;配件服务、车辆租赁、再制造等工业车辆后市场业务电动平衡重乘驾式叉车（Ⅰ类车）、电动乘驾式仓储叉车（Ⅱ类车）、电动步行式,机械/装备制造
600763,医疗服务的投资医疗服务、产品销售、建设工程,医药生物
600773,房地产开发普通住宅、商办楼、各类商品住宅、商业写字楼和商业综合体的开发及运营管理,房地产/建筑
600779,生产销售酒类产品水井坊井台系列、水井坊臻酿八号系列、第一坊·元、第一坊·明、第一坊·清、第一坊·十五年、第一坊·晶狮、天号陈、水井坊·珍心珍意·清漾29°、小水,白酒/食品饮料
600785,商业零售、物流和商业物业出租业务。商品零售、商业物业出租及其他服务,消费/家电零售
600809,生产及销售汾酒、竹叶青酒及其系列酒并提供广告服务。汾酒、竹叶青酒、杏花村酒,白酒/食品饮料
600810,生产、销售工业丝、帘子布、切片尼龙66工业丝、帘子布、尼龙66切片、尼龙6切片、己二酸、环己烷、阻燃纤维、原液色丝、尼龙6民用丝,化工/新材料
600812,医药产品的研发、生产和销售注射用哌拉西林钠他唑巴坦钠、注射用青霉素钠、注射用盐酸去甲万古霉素,医药生物
600816,委托存贷款、投资及金融租赁等业务。固有业务、信托业务,金融
600825,图书发行、报刊经营、报刊发行、广告代理、传媒衍生等业务图书、文教用品、报刊及广告收入,互联网/软件
600830,典当、担保、融资租赁、财富管理、贸易等。商品贸易、融资租赁、典当、担保、特殊资产,其他
600839,电视机、冰箱、空调、压缩机、视听产品、电池、手机等产品的生产销售、IT产品的销售以及房地产开发等生产经营活动。电视、空调、冰箱（柜）、洗衣机、厨卫产品及小家电、,房地产/建筑
600859,商品零售和商业物业出租业务商品零售、租赁,消费/家电零售
600875,大型发电成套设备、工程承包及服务等。能源装备制造、制造服务、新兴产业,机械/装备制造
600881,建材、房地产开发、煤炭批发经营、药品生产及经营建材产品、房地产品、医药产品、煤炭产品、商贸产品,房地产/建筑
600883,食用菌业务和火腿业务新鲜松茸、冷冻美味牛肝菌、干牛肝菌、干羊肚菌、其他食用菌制品、诺邓火腿、盐泥肉、午餐肉、咖啡生豆、咖啡熟豆、挂耳咖啡、咖啡果皮茶,白酒/食品饮料
600887,农畜产品的生产与加工。液态奶、乳饮料、奶粉、酸奶、冷冻饮品、奶酪、乳脂、包装饮用水,白酒/食品饮料
600893,航空发动机及衍生产品、外贸转包生产、非航空产品及贸易航空发动机及燃气轮机整机、部件、零组件，维修保障服务，以及航空发动机、燃气轮机、石油钻探、医疗器械零部件出口,医药生物
600961,国家法律法规允许的产业投资；冶炼、销售有色金属产品、矿产品及副产品；生产、销售工业硫酸、二氧化硫烟气；研究、开发、生产、销售政策允许的金属新材料。锌锭、热镀锌合,有色金属/采矿
600962,浓缩果蔬汁的生产和销售浓缩苹果汁,其他
600963,机制纸、商品浆的生产、销售及林业经营文化用纸、包装用纸、工业用纸、商品纤维素,化工/新材料
600973,电线电缆及其相关产品的生产、研发及销售。电力电缆、电气装备用电缆、通信电缆及光缆,机械/装备制造
600983,洗衣机、冰箱、冷冻箱、冷藏箱、微波炉、洁身器、空气净化器等相关产品及其它相关电子电器产品的生产、销售和服务；电子程控器、离合器、模具、电机及控制系统等产品生产、,半导体/电子
600990,雷达整机及雷达配套产品、无线通信设备产品的研制、生产和销售。雷达及配套产品、公共安全产品、电源产品、机动保障装备产品,机械/装备制造
600997,煤炭开采、原煤洗选加工和洗选产品的销售。洗精煤、焦炭、纯苯、甲醇、聚甲醛、己二酸、焦化副产品,有色金属/采矿
601012,单晶硅棒、硅片、电池和组件的研发、生产和销售，以及光伏电站投资开发业务等组件及电池、硅片及硅棒、电站业务,新能源/电池
600086,珠宝玉石，黄、铂金及镶嵌饰品的生产、销售翡翠原石、租金收入,其他
600122,为3C零售连锁业务、工业制造、艺术品拍卖、金融服务、房地产开发。电线电缆、光纤光缆、针式与微型各类打印机、办公设备周边产品,房地产/建筑
600311,黄金矿石的开采、加工与销售黄金、白银,有色金属/采矿
600432,镍金属采矿、选矿、冶炼及其相关化工产品的生产加工和销售，专业生产电镀、化学镀、电池材料等行业用的镍、铜、钴盐以及有色金属、化工产品。硫酸镍、电解镍、水淬高冰镍、,有色金属/采矿
600627,电站网络成套设备，高低压输配电设备，变压器，自动化控制装置，轨道交通供电设备，交直流电机，核电供电设备及现代建筑构件，家用电器，工夹模具的设计制造等研发、生产和,互联网/软件
600811,现代农业及健康食品产业大米加工销售、油脂加工销售、其他农产品销售、土地及房地产开发,房地产/建筑
600823,房地产开发与销售、商业物业管理与经营及多元商业投资。住宅销售、商业地产销售、房地产租赁、酒店服务业务、物业管理,房地产/建筑
600836,印刷业务及房地产业务印刷包装、商贸服务,房地产/建筑
600837,有财富管理、投资银行、资产管理、交易及机构、融资租赁等零售业务、金融产品销售、融资类业务、期货业务、海通国际私人财富管理业务、股权融资、债券融资、基金管理、海通,金融
601299,铁路机车车辆（含动车组）、城市轨道车辆、工程机械、机电设备、环保设备、相关部件等产品的开发设计、制造、修理及技术服务、设备租赁等业务。轨道交通业务、通用机电业务,机械/装备制造
